CowID,Lact,Cow Sold,Herd Sold,Cow Shortloss,Herd Shortloss,Cow Longloss,Herd Longloss,Cow Failure,Herd Failure,Cow Recurred,Herd Recurred,Cow Quality
N08740991,1,12.0,51,35.0,49,25.0,51,55.0,48,24.0,47,2
N08740991,2,11.0,51,33.0,49,31.0,51,50.0,48,21.0,47,2
N08740992,1,11.0,51,32.0,49,21.0,51,50.0,48,16.0,47,2
N08740992,2,52.0,51,59.0,49,60.0,51,57.0,48,60.0,47,3
N08740992,2,67.0,51,65.0,49,67.0,51,43.0,48,57.0,47,3
N08748353,8,69.0,51,47.0,49,49.0,51,25.0,48,21.0,47,3
N08748354,4,24.0,51,31.0,49,26.0,51,60.0,48,46.0,47,2
N08748354,5,76.0,51,63.0,49,60.0,51,66.0,48,61.0,47,4
N08748354,5,86.0,51,71.0,49,71.0,51,50.0,48,57.0,47,4
N08748355,3,12.0,51,24.0,49,48.0,51,33.0,48,20.0,47,2
N08751553,6,72.0,51,55.0,49,61.0,51,22.0,48,42.0,47,4
N08751557,5,61.0,51,55.0,49,70.0,51,29.0,48,48.0,47,3
N08751562,1,32.0,51,30.0,49,20.0,51,61.0,48,31.0,47,2
N08751566,5,68.0,51,45.0,49,66.0,51,19.0,48,32.0,47,3
N08751568,5,25.0,51,39.0,49,36.0,51,64.0,48,51.0,47,3
N08751572,5,61.0,51,56.0,49,80.0,51,33.0,48,44.0,47,4
N08751572,5,65.0,51,58.0,49,81.0,51,35.0,48,37.0,47,4
N08751572,5,65.0,51,53.0,49,78.0,51,50.0,48,39.0,47,4
N08751572,5,59.0,51,57.0,49,82.0,51,34.0,48,42.0,47,4
N08751578,2,40.0,51,49.0,49,56.0,51,54.0,48,57.0,47,3
N08751578,3,31.0,51,47.0,49,57.0,51,28.0,48,32.0,47,3
N08754258,2,42.0,51,37.0,49,32.0,51,29.0,48,42.0,47,2
N08754260,1,41.0,51,28.0,49,23.0,51,54.0,48,27.0,47,2
N08754260,1,49.0,51,52.0,49,53.0,51,62.0,48,38.0,47,3
N08754264,4,66.0,51,70.0,49,73.0,51,59.0,48,61.0,47,4
N08754274,2,15.0,51,29.0,49,23.0,51,59.0,48,28.0,47,1
N08754274,3,23.0,51,30.0,49,34.0,51,40.0,48,54.0,47,3
N09757233,4,14.0,51,23.0,49,42.0,51,46.0,48,17.0,47,2
N09757234,5,62.0,51,56.0,49,55.0,51,68.0,48,58.0,47,3
N09757234,5,75.0,51,60.0,49,65.0,51,35.0,48,52.0,47,4
N09757243,2,37.0,51,31.0,49,23.0,51,46.0,48,39.0,47,2
N09768522,3,60.0,51,59.0,49,61.0,51,57.0,48,54.0,47,3
N09768525,3,24.0,51,27.0,49,45.0,51,35.0,48,41.0,47,2
N09768525,3,20.0,51,42.0,49,49.0,51,53.0,48,45.0,47,2
N09768525,4,84.0,51,76.0,49,86.0,51,59.0,48,68.0,47,4
N09768525,4,85.0,51,80.0,49,91.0,51,62.0,48,70.0,47,5
N09768525,4,86.0,51,82.0,49,92.0,51,58.0,48,70.0,47,5
N09768525,4,88.0,51,82.0,49,94.0,51,46.0,48,66.0,47,5
N09775202,4,60.0,51,53.0,49,51.0,51,65.0,48,48.0,47,3
N09775208,1,26.0,51,22.0,49,16.0,51,33.0,48,33.0,47,2
N09775210,4,54.0,51,52.0,49,45.0,51,43.0,48,48.0,47,3
N09775210,4,16.0,51,49.0,49,46.0,51,52.0,48,34.0,47,2
N09775219,1,63.0,51,46.0,49,59.0,51,35.0,48,33.0,47,3
N09775219,1,65.0,51,56.0,49,68.0,51,50.0,48,44.0,47,3
N09778686,1,33.0,51,34.0,49,22.0,51,40.0,48,31.0,47,2
N09778686,4,64.0,51,57.0,49,67.0,51,58.0,48,62.0,47,3
N09778686,4,72.0,51,66.0,49,74.0,51,45.0,48,64.0,47,4
N09778686,4,76.0,51,75.0,49,78.0,51,46.0,48,66.0,47,4
N09778691,4,36.0,51,35.0,49,33.0,51,58.0,48,45.0,47,2
N09778709,4,59.0,51,45.0,49,45.0,51,46.0,48,42.0,47,3
N09778709,7,17.0,51,35.0,49,41.0,51,53.0,48,25.0,47,2
N09778709,7,17.0,51,36.0,49,53.0,51,48.0,48,24.0,47,3
N09778709,9,85.0,51,82.0,49,85.0,51,65.0,48,67.0,47,4
N09778713,3,65.0,51,57.0,49,62.0,51,46.0,48,47.0,47,3
N09782103,1,35.0,51,20.0,49,16.0,51,32.0,48,30.0,47,2
N09782103,3,49.0,51,45.0,49,41.0,51,53.0,48,56.0,47,3
N09782106,2,53.0,51,49.0,49,45.0,51,49.0,48,31.0,47,3
N09782106,2,71.0,51,51.0,49,55.0,51,29.0,48,38.0,47,4
N09782112,1,26.0,51,19.0,49,14.0,51,39.0,48,29.0,47,1
N09782112,3,22.0,51,41.0,49,36.0,51,64.0,48,54.0,47,3
N09782112,3,21.0,51,55.0,49,48.0,51,42.0,48,48.0,47,3
N09782112,3,20.0,51,55.0,49,58.0,51,59.0,48,53.0,47,3
N09782112,6,83.0,51,76.0,49,79.0,51,52.0,48,69.0,47,4
N09782112,6,89.0,51,82.0,49,81.0,51,29.0,48,55.0,47,4
N09782112,6,90.0,51,85.0,49,86.0,51,41.0,48,64.0,47,4
N09790003,6,15.0,51,25.0,49,40.0,51,53.0,48,14.0,47,2
N09790004,3,61.0,51,46.0,49,53.0,51,37.0,48,42.0,47,3
N09790004,3,16.0,51,25.0,49,57.0,51,17.0,48,14.0,47,3
N09790004,4,78.0,51,63.0,49,80.0,51,35.0,48,64.0,47,4
N09790004,4,86.0,51,65.0,49,79.0,51,27.0,48,58.0,47,4
N09790004,4,28.0,51,27.0,49,75.0,51,27.0,48,12.0,47,4
N09790005,4,55.0,51,27.0,49,31.0,51,38.0,48,38.0,47,3
N09790006,3,55.0,51,52.0,49,54.0,51,37.0,48,52.0,47,3
N09793359,4,53.0,51,45.0,49,55.0,51,43.0,48,50.0,47,3
N09793359,5,72.0,51,58.0,49,62.0,51,35.0,48,44.0,47,4
N09793359,5,76.0,51,73.0,49,71.0,51,53.0,48,49.0,47,4
N09793364,3,40.0,51,39.0,49,39.0,51,57.0,48,55.0,47,3
N09793364,4,68.0,51,63.0,49,78.0,51,36.0,48,54.0,47,4
N09793364,4,38.0,51,59.0,49,64.0,51,63.0,48,63.0,47,3
N09793364,5,79.0,51,72.0,49,78.0,51,42.0,48,66.0,47,4
N09793366,5,20.0,51,34.0,49,47.0,51,34.0,48,31.0,47,2
N09793369,3,64.0,51,49.0,49,71.0,51,43.0,48,38.0,47,4
N09793373,3,14.0,51,41.0,49,36.0,51,57.0,48,44.0,47,2
N09793376,4,58.0,51,49.0,49,46.0,51,49.0,48,49.0,47,3
N09793380,3,17.0,51,27.0,49,37.0,51,18.0,48,32.0,47,2
N09793382,2,40.0,51,35.0,49,37.0,51,33.0,48,45.0,47,2
N10797571,1,57.0,51,57.0,49,55.0,51,21.0,48,33.0,47,3
N10797572,6,72.0,51,50.0,49,61.0,51,47.0,48,50.0,47,4
N10797572,6,80.0,51,65.0,49,71.0,51,49.0,48,52.0,47,4
N10797572,6,86.0,51,72.0,49,77.0,51,34.0,48,48.0,47,4
N10797573,3,56.0,51,42.0,49,39.0,51,43.0,48,44.0,47,3
N10797574,2,20.0,51,40.0,49,34.0,51,55.0,48,41.0,47,2
